data_date,holiday_code
20170101,1
20170423,2
20170525,3
20170526,4
20170527,4
20170528,4
20170529,4
20170530,4
20170531,4
20170601,4
20170602,4
20170603,4
20170604,4
20170605,4
20170606,4
20170607,4
20170608,4
20170609,4
20170610,4
20170611,4
20170612,4
20170613,4
20170614,4
20170615,4
20170616,4
20170617,4
20170618,4
20170619,4
20170620,4
20170621,4
20170622,4
20170623,4
20170624,4
20170625,4
20170626,5
20170831,6
20170901,7
20170921,8
20171130,9
20171130,10
20171202,11
20171231,12
20180101,1
20180413,2
20180517,3
20180518,4
20180519,4
20180520,4
20180521,4
20180522,4
20180523,4
20180524,4
20180525,4
20180526,4
20180527,4
20180528,4
20180529,4
20180530,4
20180531,4
20180601,4
20180602,4
20180603,4
20180604,4
20180605,4
20180606,4
20180607,4
20180608,4
20180609,4
20180610,4
20180611,4
20180612,4
20180613,4
20180614,4
20180615,5
20180821,6
20180822,7
20180912,8
20181130,9
20181121,10
20181202,11
20181231,12
